casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx	weightar	maininc	income	expenditure	hhsize
14999	2.83472360268931	380.695762417401	465.36	1	1	4	3	1	2	4	2	3	4	.543248232630518	0	465.359985351563	380.695770263672	4
14993	10.0779472692793	546.413402762047	855.26	1	1	1	4	3	2	2	2	1	7	1.93134421902211	0	855.260009765625	546.413391113281	2
14993	4.08867647996198	242.1890227674	160.96	1	1	1	2	3	2	1	1	1	8	.783556558893464	0	160.960006713867	242.189025878906	1
14984	4.57175971107853	421.382353171671	656.22	1	1	1	3	3	1	2	2	1	6	.876134936294538	0	656.219970703125	421.382354736328	2
14981	7.34961729665399	370.405577362304	398.8	1	1	1	4	3	1	1	1	1	8	1.40848532926812	0	398.799987792969	370.405578613281	1
14976	5.04670137704067	172.397163561268	321.02	1	2	1	3	1	1	1	1	1	11	.967153058975617	0	321.019989013672	172.397171020508	1
14975	2.77595707956525	202.425	350.834	2	1	4	5	3	1	2	2	1	12	.531986178794054	1	350.834014892578	202.425003051758	2
14972	11.8826530921718	730.658039890293	1184.99	1	1	4	5	1	2	5	4	1	8	2.27719918977632	0	1184.98999023438	730.658020019531	5
14971	6.06837314558572	361.930965055366	619.57	1	1	1	2	3	1	2	2	1	10	1.16294688595192	0	619.570007324219	361.930969238281	2
14970	5.09061498105795	659.911688880048	1117.8415	2	1	4	5	3	1	2	2	1	3	.975568689955721	1	1117.84155273438	659.911682128906	2
14964	7.15478802529345	338.707135022693	375.8	2	1	2	3	1	1	4	2	3	5	1.37114812389442	1	375.799987792969	338.707122802734	4
14960	5.83969112378174	238.214640196927	819.4675	1	1	1	1	3	1	1	1	1	10	1.11912211797048	0	819.467529296875	238.214645385742	1
14959	4.04408097841403	507.493140722603	687.9345	2	1	4	5	3	1	2	2	1	6	.775010248637249	1	687.934509277344	507.493133544922	2
14954	4.70560276303346	92.6207136903087	209.85	2	1	4	5	1	1	1	1	1	3	.901784703825811	1	209.850006103516	92.6207122802734	1
14946	4.25409385289441	593.810161134514	841.11	1	2	4	5	3	1	3	3	1	5	.815257249361725	0	841.109985351563	593.810180664063	3
14944	4.02604010258255	583.537635828171	534.700769230769	1	1	2	3	1	2	3	2	2	9	.771552883728282	0	534.700744628906	583.537658691406	3
14943	9.8310295985146	371.216991741546	510.28	1	2	2	2	1	2	3	2	2	11	1.88402475968544	0	510.279998779297	371.216979980469	3
14934	4.88758307375904	420.317669789287	701.6	1	1	1	3	3	1	1	1	1	5	.936659526218172	0	701.599975585938	420.317657470703	1
14933	2.95614379219726	252.03	332.465	2	1	4	1	2	2	3	1	3	6	.566517274907967	1	332.464996337891	252.029998779297	3
14926	7.49655042818955	675.004968258767	1184.99	1	1	1	2	3	1	3	3	1	9	1.43664368796871	0	1184.98999023438	675.004943847656	3
14925	3.82073849369394	675.498577590997	521.042	1	1	1	2	3	2	2	2	1	6	.732208752935732	0	521.0419921875	675.498596191406	2
14917	7.1266983511064	359.115820288283	104.85	2	2	3	4	1	2	2	2	1	6	1.36576500088277	1	104.849998474121	359.115814208984	2
14915	5.37202787229648	350.901792932682	585.67	1	1	1	1	3	2	1	1	1	8	1.02949883526504	0	585.669982910156	350.901794433594	1
14913	5.19696103244846	1175	1184.99	1	1	1	2	3	1	3	2	2	5	.995948914825024	0	1184.98999023438	1175	3
14913	6.23447363224568	162.202155195455	169.942	2	2	4	5	1	2	1	1	1	11	1.19477848876903	1	169.942001342773	162.2021484375	1
14905	2.975220941607	326.312591736223	523.08	2	1	1	3	1	1	2	2	1	6	.570173231944003	1	523.080017089844	326.312591552734	2
14904	3.95758361544447	485.916127069014	604.92	1	1	1	3	3	1	3	2	2	4	.758433839030388	0	604.919982910156	485.916137695313	3
14904	4.68159275328713	197.125112496275	348.18	1	1	1	2	3	2	1	1	1	10	.897183410300134	0	348.179992675781	197.125106811523	1
14898	3.98700754750325	173.99	243.652	2	2	4	5	1	1	2	2	1	4	.764072660068465	1	243.651992797852	173.990005493164	2
14892	3.54759748902537	560.468327673829	990.17	1	1	1	1	3	2	2	2	1	3	.679863837225306	0	990.169982910156	560.468322753906	2
14892	5.39597839061146	479.696844133556	1184.99	1	1	1	1	3	1	3	2	2	11	1.034088727815	0	1184.98999023438	479.696838378906	3
14885	4.35990721071988	299.18414289453	189.492	2	1	4	2	1	2	2	1	2	10	.835535388497706	1	189.492004394531	299.184143066406	2
14878	4.86610908080532	435.305	467.512	2	1	4	5	2	1	1	1	1	6	.932544236562221	1	467.511993408203	435.304992675781	1
14875	5.73057231835478	305.95775373708	781.14	1	2	1	3	3	1	2	2	1	5	1.0982105207556	0	781.140014648438	305.957763671875	2
14873	3.74477253228476	1105.50169364205	750.6295	1	1	1	1	3	1	2	2	1	8	.717650587816401	0	750.629516601563	1105.50170898438	2
14868	4.90216437483183	513.608301581603	1184.99	1	1	1	1	3	1	2	2	1	7	.939453896021892	0	1184.98999023438	513.608276367188	2
14865	6.81974267432981	302.193752351847	372.62	1	1	1	1	3	2	3	3	1	2	1.30693981992101	0	372.619995117188	302.193756103516	3
14859	3.07712500505998	1175	1078.07	1	1	1	1	3	1	5	2	3	5	.589702191422162	0	1078.06994628906	1175	5
14856	4.67573698979116	263.374439640033	160.132	2	1	4	5	3	1	1	1	1	4	.896061208062544	1	160.13200378418	263.374450683594	1
14855	3.67363055833335	967.64388528351	1184.99	2	1	4	5	3	1	2	2	1	6	.704016894719025	1	1184.98999023438	967.643859863281	2
14854	5.45315904374921	972.938736751772	1184.99	1	1	1	1	3	2	4	3	2	8	1.0450468645195	0	1184.98999023438	972.938720703125	4
14853	5.02733852235771	263.124182152158	250.3	2	1	2	3	2	2	2	1	2	7	.963442349199462	1	250.300003051758	263.124176025391	2
14847	6.62871454109145	511.061663579363	1184.99	1	1	1	1	3	1	2	2	1	6	1.27033106707258	0	1184.98999023438	511.061676025391	2
14847	4.01049833343767	828.869774176733	1184.99	2	1	1	2	3	1	2	2	1	3	.76857444921287	1	1184.98999023438	828.869750976563	2
14844	4.57175971107853	419.935433879211	621.19	2	1	2	1	3	1	2	2	1	6	.876134936294538	1	621.190002441406	419.935424804688	2
14838	3.65907619016481	520.63012979755	972.67	1	1	1	1	3	1	2	2	1	2	.701227686354192	0	972.669982910156	520.630126953125	2
14838	3.5112194311639	578.472476361247	601.95	2	1	4	5	3	1	2	2	1	10	.672892323099193	1	601.950012207031	578.472473144531	2
